BSS,Beach BSS,Cb,Color,Dhigh Diff,Dune BSS,Growth Factor,Label,RMSE,Round,Run,Score,Sim,Unnamed: 18,bedfriccoef,beta,facAs,facSk,lsgrad,m,vegDensity,wetslp
-2.597,-5.534,1.266,white,0.655,-1.7819999999999998,47.0,Bad Result,0.629,12,68.0,0,,,0.052000000000000005,200,0.257,0.28600000000000003,0.055,0.235,1.876,0.373
-1.628,-3.439,0.926,darkgrey,0.222,-1.126,74.6,Fenced Dune,0.537,12,69.0,4,,,0.053,200,0.393,0.394,0.055,0.373,1.525,0.52
-2.337,-5.237,1.209,white,0.084,-1.533,40.8,Bad Result,0.605,12,70.0,0,,,0.049,200,0.271,0.236,0.055,0.204,1.918,0.502
-2.347,-5.2970000000000015,1.27,white,0.17,-1.529,86.2,Bad Result,0.606,12,71.0,0,,,0.057,200,0.305,0.399,0.055,0.431,1.188,0.454
-1.894,-4.567,1.113,lightgreen,0.002,-1.153,45.6,Good Dune,0.564,12,72.0,1,,,0.045,200,0.375,0.362,0.055,0.228,1.749,0.5670000000000001
-2.92,-5.577000000000001,1.44,white,0.433,-2.1830000000000003,32.0,Bad Result,0.6559999999999999,12,73.0,0,,,0.051,200,0.394,0.344,0.055,0.16,0.977,0.51
-2.471,-5.089,1.221,white,0.44,-1.745,74.4,Bad Result,0.617,12,74.0,0,,,0.042,200,0.35700000000000004,0.498,0.055,0.3720000000000001,1.471,0.405
-1.51,-4.063,0.905,white,-0.221,-0.802,26.4,Bad Result,0.525,12,75.0,0,,,0.053,200,0.335,0.31,0.055,0.132,0.665,0.541
-3.284,-6.5779999999999985,1.473,white,0.309,-2.371,113.20000000000002,Bad Result,0.6859999999999999,12,76.0,0,,,0.042,200,0.258,0.242,0.055,0.5660000000000001,1.658,0.524
-2.6210000000000004,-5.733,1.361,white,0.371,-1.758,73.0,Bad Result,0.631,12,77.0,0,,,0.055,200,0.345,0.318,0.055,0.365,1.288,0.518
-1.036,-2.132,0.65,white,-0.135,-0.733,54.79999999999999,Bad Result,0.473,12,78.0,0,,,0.055,200,0.376,0.279,0.055,0.274,1.28,0.361
-2.357,-4.805,1.188,white,0.487,-1.6780000000000002,64.2,Bad Result,0.607,12,79.0,0,,,0.054000000000000006,200,0.308,0.421,0.055,0.321,0.8640000000000001,0.449
-0.621,-1.922,0.52,white,-0.219,-0.261,64.2,Bad Result,0.422,12,80.0,0,,,0.044,200,0.299,0.327,0.055,0.321,1.556,0.418
-3.802,-2.261,0.595,firebrick,1.101,-4.229,183.0,Extreme Change,0.726,13,1.0,6,,,0.046,200,0.574,0.49,0.055,0.915,1.722,0.42
-6.07,-3.555,1.224,firebrick,1.248,-6.768,192.4,Extreme Change,0.8809999999999999,13,2.0,6,,,0.05,200,0.34700000000000003,0.591,0.055,0.9620000000000001,1.32,0.591
-1.172,-3.148,0.816,darkgrey,-0.188,-0.624,45.6,Fenced Dune,0.488,13,3.0,4,,,0.053,200,0.575,0.5379999999999999,0.055,0.228,1.7,0.5920000000000001
-2.2,-5.143,1.2,darkgrey,0.204,-1.3840000000000001,172.8,Fenced Dune,0.593,13,4.0,4,,,0.048,200,0.504,0.527,0.055,0.8640000000000001,0.5539999999999999,0.5489999999999999
-1.932,-4.106,1.03,firebrick,0.28300000000000003,-1.329,50.8,Extreme Change,0.5670000000000001,13,5.0,6,,,0.042,200,0.31,0.38299999999999995,0.055,0.254,1.483,0.409
-4.602,-2.6460000000000004,0.738,firebrick,1.043,-5.145,145.0,Extreme Change,0.784,13,6.0,6,,,0.048,200,0.585,0.31,0.055,0.725,1.735,0.488
-3.783,-2.371,0.64,firebrick,1.203,-4.1739999999999995,163.2,Extreme Change,0.725,13,7.0,6,,,0.054000000000000006,200,0.447,0.434,0.055,0.816,1.6480000000000001,0.529
-1.876,-3.8739999999999997,1.01,white,0.318,-1.3219999999999998,69.6,Bad Result,0.562,13,8.0,0,,,0.05,200,0.4970000000000001,0.349,0.055,0.348,1.632,0.424
-1.6380000000000001,-3.614,0.9390000000000001,firebrick,0.225,-1.09,81.2,Extreme Change,0.5379999999999999,13,9.0,6,,,0.05,200,0.3670000000000001,0.525,0.055,0.406,1.94,0.451
-5.7139999999999995,-3.3960000000000004,1.219,firebrick,1.1909999999999998,-6.357,180.4,Extreme Change,0.8590000000000001,13,10.0,6,,,0.045,200,0.46399999999999997,0.342,0.055,0.902,1.5490000000000002,0.43
-2.2680000000000002,-4.754,1.111,darkgrey,0.35100000000000003,-1.578,65.8,Fenced Dune,0.599,13,11.0,4,,,0.044000000000000004,200,0.373,0.579,0.055,0.32899999999999996,1.761,0.47
-1.3869999999999998,-3.638,0.855,darkgrey,-0.086,-0.763,130.8,Fenced Dune,0.512,13,12.0,4,,,0.051,200,0.405,0.5489999999999999,0.055,0.654,0.877,0.517
-1.946,-4.499,1.068,darkgrey,0.177,-1.238,71.4,Fenced Dune,0.569,13,13.0,4,,,0.042,200,0.526,0.414,0.055,0.35700000000000004,1.876,0.514
-1.919,-4.564,1.084,darkgrey,0.128,-1.186,115.6,Fenced Dune,0.5660000000000001,13,14.0,4,,,0.049,200,0.58,0.33899999999999997,0.055,0.578,0.581,0.514
-0.6829999999999999,-2.063,0.622,white,-0.309,-0.301,80.6,Bad Result,0.43,13,15.0,0,,,0.043,200,0.5379999999999999,0.39299999999999996,0.055,0.40299999999999997,0.518,0.506
-1.7369999999999999,-4.117,0.991,white,0.13699999999999998,-1.077,67.4,Bad Result,0.5479999999999999,13,16.0,0,,,0.042,200,0.507,0.524,0.055,0.337,1.403,0.49
-0.62,-2.164,0.614,white,-0.321,-0.192,184.4,Bad Result,0.42200000000000004,13,17.0,0,,,0.042,200,0.5479999999999999,0.462,0.055,0.922,0.843,0.599
-2.383,-4.956,1.2209999999999999,white,0.361,-1.669,39.2,Bad Result,0.61,13,18.0,0,,,0.057,200,0.301,0.532,0.055,0.196,1.1640000000000001,0.563
-0.894,-2.468,0.695,white,-0.22,-0.457,92.0,Bad Result,0.456,13,19.0,0,,,0.044000000000000004,200,0.54,0.429,0.055,0.46,0.627,0.5820000000000001
-0.745,-1.9809999999999999,0.602,white,-0.249,-0.402,46.2,Bad Result,0.43799999999999994,13,20.0,0,,,0.043,200,0.561,0.474,0.055,0.231,0.8959999999999999,0.51
-4.569,-2.781,0.763,firebrick,1.075,-5.065,132.0,Extreme Change,0.782,13,21.0,6,,,0.045,200,0.45399999999999996,0.42100000000000004,0.055,0.66,1.78,0.415
-0.845,-2.306,0.68,white,-0.266,-0.44,53.2,Bad Result,0.45,13,22.0,0,,,0.059000000000000004,200,0.425,0.315,0.055,0.266,0.685,0.581
-1.207,-2.437,0.753,white,0.10300000000000001,-0.866,108.0,Bad Result,0.4920000000000001,13,23.0,0,,,0.055999999999999994,200,0.57,0.41100000000000003,0.055,0.54,1.236,0.42200000000000004
-1.3519999999999999,-3.449,0.8029999999999999,white,-0.047,-0.77,63.6,Bad Result,0.508,13,24.0,0,,,0.059000000000000004,200,0.32899999999999996,0.34,0.055,0.318,1.085,0.588
-1.016,-2.4330000000000003,0.6759999999999999,white,-0.08,-0.624,30.8,Bad Result,0.47100000000000003,13,25.0,0,,,0.040999999999999995,200,0.406,0.546,0.055,0.154,1.3630000000000002,0.40299999999999997
-1.8319999999999999,-4.3260000000000005,1.0490000000000002,white,0.165,-1.141,136.8,Bad Result,0.5579999999999999,13,26.0,0,,,0.046,200,0.494,0.435,0.055,0.684,0.753,0.509
-1.74,-3.9739999999999998,1.015,white,0.084,-1.121,54.0,Bad Result,0.5489999999999999,13,27.0,0,,,0.055999999999999994,200,0.355,0.41100000000000003,0.055,0.27,1.617,0.525
-1.963,-4.426,1.082,white,0.18100000000000002,-1.281,187.2,Bad Result,0.5710000000000001,13,28.0,0,,,0.046,200,0.446,0.431,0.055,0.9359999999999999,0.622,0.489
-2.075,-4.628,1.113,white,0.22699999999999998,-1.367,112.0,Bad Result,0.581,13,29.0,0,,,0.055999999999999994,200,0.5379999999999999,0.493,0.055,0.56,1.263,0.47600000000000003
-2.233,-5.178,1.204,white,0.26899999999999996,-1.4169999999999998,83.2,Bad Result,0.596,13,30.0,0,,,0.052000000000000005,200,0.563,0.465,0.055,0.41600000000000004,1.2990000000000002,0.524
-1.4880000000000002,-3.392,0.853,white,0.179,-0.96,74.2,Bad Result,0.523,13,31.0,0,,,0.045,200,0.369,0.5529999999999999,0.055,0.371,0.812,0.439
-1.452,-3.299,0.8270000000000001,white,0.127,-0.9390000000000001,61.0,Bad Result,0.519,13,32.0,0,,,0.044000000000000004,200,0.39299999999999996,0.5770000000000001,0.055,0.305,0.7559999999999999,0.486
-4.816,-2.928,0.8290000000000001,firebrick,1.068,-5.34,196.4,Extreme Change,0.799,13,33.0,6,,,0.052000000000000005,200,0.33299999999999996,0.377,0.055,0.982,1.857,0.48200000000000004
-1.906,-4.113,1.033,white,0.35600000000000004,-1.294,128.6,Bad Result,0.565,13,34.0,0,,,0.046,200,0.3670000000000001,0.335,0.055,0.643,0.893,0.45899999999999996
-0.764,-1.429,0.564,white,-0.163,-0.579,111.4,Bad Result,0.44,13,35.0,0,,,0.059000000000000004,200,0.379,0.54,0.055,0.557,1.136,0.406
-1.4880000000000002,-3.762,0.934,white,-0.031,-0.857,108.0,Bad Result,0.523,13,36.0,0,,,0.051,200,0.371,0.43799999999999994,0.055,0.54,1.595,0.593
-1.453,-3.174,0.867,white,0.141,-0.976,61.6,Bad Result,0.519,13,37.0,0,,,0.047,200,0.48700000000000004,0.504,0.055,0.308,1.2819999999999998,0.479
-2.261,-4.362,1.1640000000000001,white,0.35200000000000004,-1.679,26.8,Bad Result,0.599,13,38.0,0,,,0.045,200,0.574,0.539,0.055,0.134,1.982,0.42
-0.48100000000000004,-1.795,0.602,white,-0.387,-0.11699999999999999,142.4,Bad Result,0.40299999999999997,13,39.0,0,,,0.05,200,0.516,0.332,0.055,0.7120000000000001,1.003,0.531
-5.731,-3.237,1.178,firebrick,1.213,-6.422999999999999,148.8,Extreme Change,0.86,13,40.0,6,,,0.044000000000000004,200,0.5670000000000001,0.4,0.055,0.7440000000000001,1.669,0.54
-1.3980000000000001,-3.5580000000000003,0.875,white,-0.067,-0.799,154.0,Bad Result,0.513,13,41.0,0,,,0.052000000000000005,200,0.444,0.5710000000000001,0.055,0.77,0.546,0.522
-5.4479999999999995,-3.134,0.9329999999999999,firebrick,0.98,-6.0889999999999995,165.0,Extreme Change,0.8420000000000001,13,42.0,6,,,0.040999999999999995,200,0.355,0.3720000000000001,0.055,0.825,1.7890000000000001,0.5770000000000001
-2.4859999999999998,-5.3420000000000005,1.234,darkgrey,0.321,-1.694,50.2,Fenced Dune,0.619,13,43.0,4,,,0.040999999999999995,200,0.514,0.45,0.055,0.251,1.235,0.494
-0.456,-1.59,0.5539999999999999,orange,-0.384,-0.142,27.6,Good Beach,0.4,13,44.0,2,,,0.055999999999999994,200,0.456,0.32899999999999996,0.055,0.138,1.5230000000000001,0.564
-1.712,-4.101,0.995,darkgrey,0.06,-1.05,47.0,Fenced Dune,0.546,13,45.0,4,,,0.055999999999999994,200,0.456,0.5920000000000001,0.055,0.235,1.584,0.53
-2.173,-4.512,1.119,white,0.424,-1.524,97.8,Bad Result,0.59,13,46.0,0,,,0.048,200,0.325,0.34,0.055,0.489,1.181,0.435
-4.02,-2.375,0.545,firebrick,1.025,-4.476,164.6,Extreme Change,0.743,13,47.0,6,,,0.053,200,0.42,0.45799999999999996,0.055,0.823,1.7469999999999999,0.483
