Generation,Simulation,m,Cb,facAs,facSk,lsgrad,bedfric,wetslp,vegDensity,RMSE,Dune RMSE,Beach RMSE,BSS,Dune BSS,Beach BSS,BSS Label,Dune BSS Label,Beach BSS Label,Folder,Profile,Long
1,17,8.5196,0.2216,0.9569,1.0196,-0.1009,0.0004,0.7944,0.1025,17.1665,17.798,16.5823,-3513.5183,-5249.9695,-2621.5022,Very Poor,Very Poor,Very Poor,run04122021115225_775316,3,False
1,18,8.2066,0.2117,1.0073,0.9814,-0.102,0.0004,0.7322,0.104,16.4146,16.9712,15.9012,-3212.4112,-4773.4768,-2410.4908,Very Poor,Very Poor,Very Poor,run04122021115225_797686,3,False
1,19,8.5965,0.2191,0.9934,1.0061,-0.1003,0.0004,0.7443,0.0959,1356.5174,1974.8786,29.1297,-21946007.8147,-64651646.7189,-8091.7822,Very Poor,Very Poor,Very Poor,run04122021115225_855869,3,False
1,20,8.2874,0.2124,1.0471,0.9588,-0.1044,0.0004,0.7579,0.1042,4.0846,1.4856,5.4415,-197.9789,-35.5837,-281.4014,Very Poor,Very Poor,Very Poor,run04122021115225_921375,3,False
1,1,1.8985,0.9717,0.5782,0.3741,0.0421,0.0985,0.7406,1.4245,0.8074,1.2265,0.6783,-4.9341,-131.1697,-2.485,Very Poor,Very Poor,Very Poor,run04122021115225_241605,15,False
1,2,1.9728,0.8486,0.6331,0.4372,0.0559,0.1839,0.7187,1.3425,0.7954,1.2274,0.6604,-4.7596,-131.361,-2.3034,Very Poor,Very Poor,Very Poor,run04122021115225_269582,15,False
1,3,1.9073,0.1626,0.5964,0.3952,0.0445,0.1216,0.7167,1.252,0.4367,0.7608,0.3215,-0.7359,-49.8567,0.2171,Very Poor,Very Poor,Poor,run04122021115225_271021,15,False
1,4,1.8525,0.9773,0.6068,0.429,0.0489,0.1382,0.6652,1.2245,0.8025,1.2172,0.6749,-4.8622,-129.1537,-2.4508,Very Poor,Very Poor,Very Poor,run04122021115225_289522,15,False
1,5,2.0783,0.3904,0.5749,0.373,0.0488,0.1226,0.6919,1.1564,0.5443,0.8624,0.4422,-1.6969,-64.3467,-0.4814,Very Poor,Very Poor,Very Poor,run04122021115225_29287,15,False
1,6,2.0269,1.4331,0.6227,0.3846,0.0415,0.0716,0.6973,1.2796,0.8392,1.2435,0.7175,-5.4116,-134.857,-2.9002,Very Poor,Very Poor,Very Poor,run04122021115225_331966,15,False
1,7,1.8285,1.3014,0.6318,0.3986,0.0466,0.153,0.7567,1.4428,0.8273,1.2328,0.7046,-5.2301,-132.5115,-2.7607,Very Poor,Very Poor,Very Poor,run04122021115225_378618,15,False
1,8,2.0375,0.1054,0.6111,0.3817,0.0556,0.1941,0.748,1.2327,0.4028,0.6738,0.3108,-0.4768,-38.8909,0.2685,Very Poor,Very Poor,Poor,run04122021115225_405612,15,False
1,9,2.17,0.6472,0.6,0.4172,0.0442,0.0549,0.7019,0.8733,0.399,0.0785,0.44,-0.4491,0.4582,-0.4667,Very Poor,Fair,Very Poor,run04122021115225_486494,15,False
1,10,2.0314,1.4724,0.568,0.3736,0.0411,0.1358,0.7292,0.9285,0.5975,0.2078,0.6539,-2.2496,-2.7921,-2.2391,Very Poor,Very Poor,Very Poor,run04122021115225_552321,15,False
1,11,1.8239,0.976,0.5948,0.3641,0.0568,0.0278,0.6753,1.4399,0.9185,1.5467,0.7038,-6.6804,-209.1772,-2.7518,Very Poor,Very Poor,Very Poor,run04122021115225_563295,15,False
1,12,1.9276,0.6809,0.5973,0.4143,0.059,0.1437,0.7699,1.2493,0.7553,1.1789,0.6214,-4.1934,-121.0978,-1.9253,Very Poor,Very Poor,Very Poor,run04122021115225_634457,15,False
1,13,1.8397,1.0878,0.5715,0.3816,0.058,0.1644,0.6374,1.2001,0.8049,1.2128,0.6802,-4.8979,-128.2316,-2.5051,Very Poor,Very Poor,Very Poor,run04122021115225_672707,15,False
1,14,1.9403,0.9821,0.6442,0.3845,0.0416,0.0527,0.7282,1.3464,0.8008,1.2103,0.6752,-4.8376,-127.6944,-2.454,Very Poor,Very Poor,Very Poor,run04122021115225_67554,15,False
1,15,1.8715,0.6215,0.6149,0.4131,0.056,0.1499,0.6877,0.9344,0.4011,0.0822,0.4422,-0.4644,0.4067,-0.4813,Very Poor,Fair,Very Poor,run04122021115225_76283,15,False
1,16,1.9817,0.2401,0.6383,0.424,0.0419,0.1909,0.7427,1.3483,0.4736,0.825,0.3487,-1.0416,-58.7938,0.0788,Very Poor,Very Poor,Poor,run04122021115225_773528,15,False
1,17,2.0503,1.2271,0.5506,0.3784,0.0571,0.1683,0.6903,1.3958,0.8228,1.2139,0.7055,-5.1629,-128.4666,-2.7707,Very Poor,Very Poor,Very Poor,run04122021115225_832342,15,False
1,18,1.9873,1.4336,0.5913,0.4105,0.0439,0.1832,0.6509,1.4432,0.8377,1.2572,0.7099,-5.3876,-137.8636,-2.8175,Very Poor,Very Poor,Very Poor,run04122021115225_93829,15,False
1,19,1.9737,0.6585,0.6064,0.4008,0.0567,0.1465,0.7651,1.384,0.7584,1.1932,0.6199,-4.2358,-124.0721,-1.9109,Very Poor,Very Poor,Very Poor,run04122021115225_948489,15,False
1,20,2.1912,0.9768,0.638,0.3733,0.0471,0.0496,0.6647,1.0074,0.5431,0.4553,0.5609,-1.6848,-17.2109,-1.3836,Very Poor,Very Poor,Very Poor,run04122021115225_982700,15,False
2,1,2.0503,1.2271,0.5506,0.3784,0.0571,0.1683,0.6903,1.3958,0.8215,1.2164,0.7027,-5.1428,-128.9894,-2.7401,Very Poor,Very Poor,Very Poor,run04122021214905_166315,15,False
2,2,1.8229,1.3014,0.6336,0.3637,0.0537,0.1397,0.794,1.4407,0.8178,1.2228,0.6949,-5.0883,-130.3542,-2.658,Very Poor,Very Poor,Very Poor,run04122021214905_239457,15,False
2,3,1.9381,0.9692,0.5696,0.3821,0.042,0.0374,0.7465,1.4568,0.8384,1.3036,0.6919,-5.3986,-148.2999,-2.6262,Very Poor,Very Poor,Very Poor,run04122021214905_251329,15,False
2,4,2.1824,0.2919,0.6245,0.3761,0.0483,0.1091,0.6512,1.1339,0.482,0.818,0.3662,-1.1151,-57.7841,-0.0157,Very Poor,Very Poor,Very Poor,run04122021214905_408450,15,False
2,5,2.0493,0.4544,0.5812,0.3853,0.0466,0.1286,0.6959,1.1881,0.6523,1.005,0.5422,-2.8731,-87.7352,-1.2267,Very Poor,Very Poor,Very Poor,run04122021214905_41823,15,False
2,6,2.0107,0.1761,0.6319,0.4117,0.044,0.1849,0.7388,1.3166,0.4452,0.7745,0.3284,-0.8043,-51.6961,0.1831,Very Poor,Very Poor,Poor,run04122021214905_644613,15,False
2,7,1.8397,0.4426,0.5715,0.3816,0.058,0.1644,0.6374,1.2001,0.6904,1.0843,0.565,-3.3385,-102.2955,-1.4186,Very Poor,Very Poor,Very Poor,run04122021214905_855991,15,False
2,8,1.9007,0.9846,0.6528,0.3765,0.0416,0.1138,0.7223,1.3141,0.8105,1.2338,0.6798,-4.9795,-132.7372,-2.5009,Very Poor,Very Poor,Very Poor,run04122021214905_912182,15,False
2,9,1.916,1.2337,0.61,0.3924,0.0432,0.0621,0.7302,1.1256,0.8193,1.2358,0.6919,-5.1108,-133.1712,-2.6263,Very Poor,Very Poor,Very Poor,run04122021214905_963216,15,False
2,10,1.8295,0.976,0.593,0.399,0.0498,0.0411,0.638,1.442,0.8105,1.2362,0.6788,-4.9792,-133.2628,-2.4904,Very Poor,Very Poor,Very Poor,run04122021214905_978551,15,False
3,1,2.0314,2.5544,0.5823,0.37,0.0505,0.1508,0.7535,1.2394,0.9257,1.1987,0.8523,-6.8006,-125.2337,-4.5028,Very Poor,Very Poor,Very Poor,run04132021050515_285503,15,False
3,2,2.0374,1.2154,0.6245,0.438,0.0517,0.1265,0.6843,1.2697,0.8149,1.2116,0.6952,-5.0454,-127.9595,-2.6608,Very Poor,Very Poor,Very Poor,run04132021050515_326774,15,False
