BSS,Beach BSS,Cb,Color,Dhigh Diff,Dune BSS,Growth Factor,Label,RMSE,Round,Run,Run.1,Score,Sim,bedfriccoef,beta,facAs,facSk,lsgrad,m,vegDensity,wetslp
0.6825091390000001,0.8031447559999999,0.065,orange,0.108657315,0.5618735229999999,2389.6,Good Beach,,2,,7.0,2,7.0,0.024,200,0.7340000000000001,0.624,0.012,11.948,,0.401
0.637772346,0.6978841640000001,0.11699999999999999,orange,0.052157357,0.577660528,2531.0,Good Beach,,2,,8.0,2,8.0,0.024,200,0.634,0.679,0.012,12.655,,0.409
0.637195734,0.70524858,0.113,orange,0.080257371,0.569142888,2418.8,Good Beach,,2,,9.0,2,9.0,0.024,200,0.6459999999999999,0.7020000000000001,0.012,12.094000000000001,,0.395
0.66758563,0.7633070409999999,0.085,orange,0.08665747900000001,0.571864219,1238.0,Good Beach,,2,,10.0,2,10.0,0.024,200,0.735,0.6609999999999999,0.012,6.19,,0.397
0.663614748,0.7657020720000001,0.057999999999999996,orange,0.10885758699999999,0.561527425,2502.6,Good Beach,,2,,11.0,2,11.0,0.025,200,0.6759999999999999,0.7040000000000001,0.012,12.513,,0.419
0.6697333679999999,0.7479394290000001,0.045,orange,0.049157575,0.591527306,2094.4,Good Beach,,2,,12.0,2,12.0,0.025,200,0.629,0.6509999999999999,0.012,10.472000000000001,,0.39799999999999996
0.675512054,0.790569156,0.057,orange,0.110957578,0.5604549520000001,2628.6,Good Beach,,2,,13.0,2,13.0,0.023,200,0.731,0.662,0.012,13.142999999999999,,0.39799999999999996
0.638293299,0.705387435,0.08199999999999999,orange,0.088657334,0.571199163,2232.0,Good Beach,,2,,14.0,2,14.0,0.024,200,0.6559999999999999,0.72,0.012,11.16,,0.406
0.659257333,0.7568037590000001,0.061,orange,0.108257249,0.5617109060000001,2834.4,Good Beach,,2,,15.0,2,15.0,0.024,200,0.708,0.71,0.012,14.172,,0.40700000000000003
0.678523581,0.76993579,0.036000000000000004,orange,0.064457372,0.5871113720000001,1151.8,Good Beach,,2,,16.0,2,16.0,0.025,200,0.679,0.7140000000000001,0.012,5.7589999999999995,,0.39399999999999996
0.6403002529999999,0.7057081270000001,0.08199999999999999,orange,0.076857522,0.5748923779999999,2137.6,Good Beach,,2,,17.0,2,17.0,0.023,200,0.612,0.66,0.012,10.687999999999999,,0.414
0.645702468,0.718980341,0.08800000000000001,orange,0.085757211,0.572424595,1622.4,Good Beach,,2,,18.0,2,18.0,0.024,200,0.632,0.6920000000000001,0.012,8.112,,0.41
0.6530555379999999,0.736644365,0.11199999999999999,orange,0.080457166,0.569466711,2378.4,Good Beach,,2,,19.0,2,19.0,0.023,200,0.669,0.63,0.012,11.892000000000001,,0.41700000000000004
0.614953696,0.6540108729999999,0.121,orange,0.055057481,0.575896518,1304.8,Good Beach,,2,,20.0,2,20.0,0.023,200,0.68,0.74,0.012,6.524,,0.40299999999999997
0.610688307,0.653734532,0.136,orange,0.072557404,0.567642083,1213.4,Good Beach,,2,,21.0,2,21.0,0.025,200,0.611,0.713,0.012,6.067,,0.41600000000000004
0.650110669,0.7303172490000001,0.07400000000000001,orange,0.095157578,0.569904089,1168.8,Good Beach,,2,,22.0,2,22.0,0.024,200,0.644,0.716,0.012,5.843999999999999,,0.41700000000000004
0.658822192,0.756303657,0.059000000000000004,orange,0.10885758699999999,0.5613407260000001,1363.6,Good Beach,,2,,23.0,2,23.0,0.025,200,0.629,0.636,0.012,6.818,,0.40700000000000003
0.68184314,0.77516172,0.046,orange,0.051957562,0.588524559,2099.8,Good Beach,,2,,24.0,2,24.0,0.024,200,0.721,0.695,0.012,10.499,,0.405
0.6807619690000001,0.775378122,0.038,orange,0.064257577,0.586145816,1803.6,Good Beach,,2,,25.0,2,25.0,0.023,200,0.6409999999999999,0.635,0.012,9.017999999999999,,0.397
0.659962275,0.732613165,0.035,orange,0.063357308,0.5873113839999999,1834.6,Good Beach,,2,,26.0,2,26.0,0.024,200,0.727,0.733,0.012,9.173,,0.405
0.6462990279999999,0.72526146,0.129,orange,0.075557187,0.567336597,1675.4,Good Beach,,2,,27.0,2,27.0,0.025,200,0.6579999999999999,0.633,0.012,8.377,,0.402
0.658529035,0.747253277,0.07400000000000001,orange,0.094457581,0.569804793,1483.4,Good Beach,,2,,28.0,2,28.0,0.025,200,0.623,0.636,0.012,7.4170000000000025,,0.419
0.674015826,0.760815949,0.037000000000000005,orange,0.06525750400000001,0.587215704,2150.4,Good Beach,,2,,29.0,2,29.0,0.025,200,0.6409999999999999,0.662,0.012,10.752,,0.39
0.684756308,0.7778553420000001,0.049,orange,0.047357514,0.5916572729999999,1086.0,Good Beach,,2,,30.0,2,30.0,0.024,200,0.6940000000000001,0.708,0.012,5.43,,0.40399999999999997
0.675975137,0.789710129,0.063,orange,0.10775752300000001,0.562240146,2094.0,Good Beach,,2,,31.0,2,31.0,0.024,200,0.7070000000000001,0.643,0.012,10.47,,0.396
0.671997037,0.765601399,0.099,orange,0.059157327,0.5783926739999999,1737.0,Good Beach,,2,,32.0,2,32.0,0.025,200,0.711,0.63,0.012,8.685,,0.413
0.675432186,0.7748147329999999,0.078,orange,0.078357175,0.576049639,1973.6,Good Beach,,2,,33.0,2,33.0,0.024,200,0.6679999999999999,0.657,0.012,9.868,,0.405
0.655601926,0.735644712,0.11699999999999999,orange,0.055057481,0.575559141,2635.2,Good Beach,,2,,34.0,2,34.0,0.025,200,0.6940000000000001,0.665,0.012,13.175999999999998,,0.406
0.6359901689999999,0.704463517,0.133,orange,0.073657468,0.567516821,1701.4,Good Beach,,2,,35.0,2,35.0,0.024,200,0.7240000000000001,0.6859999999999999,0.012,8.507,,0.408
0.673102524,0.783947755,0.063,orange,0.107657388,0.5622572920000001,1415.4,Good Beach,,2,,36.0,2,36.0,0.025,200,0.6709999999999999,0.648,0.012,7.077000000000001,,0.396
0.691155959,0.7942170159999999,0.049,orange,0.050057366,0.588094903,1451.8,Good Beach,,2,,37.0,2,37.0,0.024,200,0.64,0.672,0.012,7.258999999999999,,0.418
0.646487144,0.710042307,0.05,orange,0.071057275,0.5829319820000001,1860.4,Good Beach,,2,,38.0,2,38.0,0.024,200,0.728,0.738,0.012,9.302,,0.39299999999999996
0.673660122,0.778387068,0.075,orange,0.09635730099999999,0.568933176,1516.2,Good Beach,,2,,39.0,2,39.0,0.024,200,0.687,0.6509999999999999,0.012,7.581,,0.41100000000000003
0.690914081,0.792859663,0.043,orange,0.06025739,0.588968498,1443.4,Good Beach,,2,,40.0,2,40.0,0.024,200,0.649,0.6579999999999999,0.012,7.2170000000000005,,0.405
0.6765886590000001,0.7919771290000001,0.059000000000000004,orange,0.109257176,0.5612001879999999,1171.0,Good Beach,,2,,41.0,2,41.0,0.025,200,0.7140000000000001,0.624,0.012,5.855,,0.41200000000000003
0.651148074,0.7210034959999999,0.094,orange,0.06025739,0.581292653,1977.2,Good Beach,,2,,42.0,2,42.0,0.025,200,0.6409999999999999,0.675,0.012,9.886000000000001,,0.406
0.6718855429999999,0.762620469,0.055,orange,0.068357423,0.5811506160000001,2042.2,Good Beach,,2,,43.0,2,43.0,0.024,200,0.674,0.695,0.012,10.211,,0.402
0.600254926,0.633571013,0.139,orange,0.073357537,0.566938839,1734.8,Good Beach,,2,,44.0,2,44.0,0.025,200,0.615,0.726,0.012,8.674,,0.414
0.6651519889999999,0.769103634,0.059000000000000004,orange,0.109257176,0.561200344,1197.4,Good Beach,,2,,45.0,2,45.0,0.023,200,0.654,0.7020000000000001,0.012,5.987,,0.41200000000000003
0.635426198,0.703892855,0.102,orange,0.08725734,0.56695954,1213.6,Good Beach,,2,,46.0,2,46.0,0.024,200,0.674,0.713,0.012,6.068,,0.41700000000000004
0.68228587,0.8015128490000001,0.067,orange,0.106757119,0.5630588910000001,2781.8,Good Beach,,2,,47.0,2,47.0,0.023,200,0.701,0.644,0.012,13.909,,0.41200000000000003
0.6518281920000001,0.7321006640000001,0.083,orange,0.08805747300000001,0.571555721,2000.0,Good Beach,,2,,48.0,2,48.0,0.024,200,0.728,0.693,0.012,10.0,,0.41600000000000004
0.6496623539999999,0.71762358,0.09300000000000001,orange,0.061057046,0.581701127,2611.0,Good Beach,,2,,49.0,2,49.0,0.025,200,0.634,0.649,0.012,13.055,,0.391
0.679563503,0.767048793,0.048,orange,0.050557568,0.592078212,1979.8,Good Beach,,2,,50.0,2,50.0,0.024,200,0.737,0.706,0.012,9.899,,0.40399999999999997
0.655242975,0.7304608290000001,0.105,orange,0.056757405,0.580025121,1119.2,Good Beach,,2,,51.0,2,51.0,0.024,200,0.616,0.629,0.012,5.596,,0.39299999999999996
0.65740044,0.744602662,0.12,orange,0.076557115,0.5701982179999999,2636.2,Good Beach,,2,,52.0,2,52.0,0.024,200,0.7040000000000001,0.638,0.012,13.181,,0.406
0.655595293,0.740759278,0.10099999999999999,orange,0.07995744,0.5704313089999999,2946.0,Good Beach,,2,,53.0,2,53.0,0.024,200,0.7140000000000001,0.674,0.012,14.73,,0.415
0.682163152,0.780267698,0.045,orange,0.07015748299999999,0.584058607,1167.0,Good Beach,,2,,54.0,2,54.0,0.025,200,0.633,0.667,0.012,5.835,,0.414
0.6669274789999999,0.76435785,0.07400000000000001,orange,0.095257237,0.569497108,1121.0,Good Beach,,2,,55.0,2,55.0,0.024,200,0.6779999999999999,0.67,0.012,5.605,,0.409
0.627947977,0.67365745,0.077,orange,0.058257535,0.582238504,1584.0,Good Beach,,2,,56.0,2,56.0,0.023,200,0.612,0.738,0.012,7.92,,0.39299999999999996
0.677999336,0.774451298,0.052000000000000005,orange,0.07015748299999999,0.581547374,1744.8,Good Beach,,2,,57.0,2,57.0,0.025,200,0.674,0.6609999999999999,0.012,8.724,,0.418
0.644187033,0.7182616890000001,0.111,orange,0.078357175,0.5701123770000001,1105.4,Good Beach,,2,,58.0,2,58.0,0.024,200,0.645,0.6709999999999999,0.012,5.527,,0.418
0.627537117,0.687620612,0.138,orange,0.073157266,0.567453622,1835.4,Good Beach,,2,,59.0,2,59.0,0.024,200,0.649,0.7040000000000001,0.012,9.177,,0.406
0.650117824,0.727939601,0.10300000000000001,orange,0.071757272,0.572296048,2396.2,Good Beach,,2,,60.0,2,60.0,0.025,200,0.633,0.635,0.012,11.981,,0.395
0.6494231420000001,0.7177816290000001,0.092,orange,0.060857250999999994,0.581064654,1065.2,Good Beach,,2,,61.0,2,61.0,0.023,200,0.725,0.7,0.012,5.3260000000000005,,0.401
0.6184426279999999,0.669176401,0.138,orange,0.071857407,0.567708855,1921.4,Good Beach,,2,,62.0,2,62.0,0.024,200,0.63,0.723,0.012,9.607000000000001,,0.401
0.661442415,0.7520085999999999,0.077,orange,0.09115739099999999,0.57087623,1381.8,Good Beach,,2,,63.0,2,63.0,0.024,200,0.6729999999999999,0.634,0.012,6.909,,0.397
0.66046089,0.7452760159999999,0.094,orange,0.06885714799999999,0.575645765,1769.2,Good Beach,,2,,64.0,2,64.0,0.024,200,0.643,0.655,0.012,8.846,,0.39799999999999996
0.645799641,0.723884981,0.138,orange,0.072157338,0.567714301,2648.8,Good Beach,,2,,65.0,2,65.0,0.024,200,0.705,0.6609999999999999,0.012,13.244000000000002,,0.39299999999999996
0.653389641,0.734416245,0.127,orange,0.062957242,0.572363038,2812.6,Good Beach,,2,,66.0,2,66.0,0.024,200,0.716,0.6509999999999999,0.012,14.062999999999999,,0.391
0.655375836,0.748773263,0.064,orange,0.10845752,0.561978409,1850.6,Good Beach,,2,,67.0,2,67.0,0.024,200,0.631,0.6409999999999999,0.012,9.253,,0.39299999999999996
0.658999265,0.7434717209999999,0.08199999999999999,orange,0.082457498,0.574526809,2197.0,Good Beach,,2,,68.0,2,68.0,0.024,200,0.7,0.7040000000000001,0.012,10.985,,0.391
0.663027574,0.763257238,0.065,orange,0.10705752699999999,0.562797911,1137.6,Good Beach,,2,,69.0,2,69.0,0.024,200,0.679,0.6990000000000001,0.012,5.688,,0.415
0.644819375,0.721365789,0.13699999999999998,orange,0.072457269,0.56827296,2436.8,Good Beach,,2,,70.0,2,70.0,0.023,200,0.679,0.659,0.012,12.184000000000001,,0.408
0.640594632,0.716496472,0.077,orange,0.10305734,0.564692792,2557.6,Good Beach,,2,,71.0,2,71.0,0.023,200,0.622,0.652,0.012,12.788,,0.39799999999999996
0.633922785,0.69534681,0.08800000000000001,orange,0.085657552,0.57249876,1880.2,Good Beach,,2,,72.0,2,72.0,0.024,200,0.669,0.725,0.012,9.401,,0.418
0.625634449,0.683589848,0.135,orange,0.073757127,0.56767905,2275.4,Good Beach,,2,,73.0,2,73.0,0.024,200,0.6409999999999999,0.701,0.012,11.377,,0.41
0.683891433,0.779636833,0.037000000000000005,orange,0.058357194,0.588146032,2390.2,Good Beach,,2,,74.0,2,74.0,0.024,200,0.643,0.647,0.012,11.950999999999999,,0.415
0.657529901,0.736244908,0.11599999999999999,orange,0.05325742,0.578814894,1689.0,Good Beach,,2,,75.0,2,75.0,0.024,200,0.698,0.621,0.012,8.445,,0.402
0.692878262,0.800713902,0.03,orange,0.064557507,0.585042622,2832.0,Good Beach,,2,,76.0,2,76.0,0.024,200,0.67,0.6709999999999999,0.012,14.16,,0.413
0.654143676,0.737524032,0.11599999999999999,orange,0.079257443,0.570763319,1645.0,Good Beach,,2,,77.0,2,77.0,0.023,200,0.6709999999999999,0.624,0.012,8.225,,0.41200000000000003
0.681499392,0.7746613090000001,0.047,orange,0.063357308,0.588337474,1947.0,Good Beach,,2,,78.0,2,78.0,0.023,200,0.654,0.693,0.012,9.735,,0.41200000000000003
0.6214101,0.6757717740000001,0.131,orange,0.075857118,0.567048426,1485.6,Good Beach,,2,,79.0,2,79.0,0.023,200,0.645,0.7120000000000001,0.012,7.428,,0.39899999999999997
0.659694333,0.7379796009999999,0.09300000000000001,orange,0.061657384,0.581409065,1182.2,Good Beach,,2,,80.0,2,80.0,0.024,200,0.6990000000000001,0.6859999999999999,0.012,5.9110000000000005,,0.409
0.632115929,0.638451329,0.13,white,0.02915664,0.62578053,2629.4,Bad Result,,3,,1.0,0,1.0,0.024,200,0.627,0.73,0.012,13.147,,0.409
0.6723741609999999,0.7398702859999999,0.061,lightgreen,0.010256722,0.604878036,1195.0,Good Dune,,3,,2.0,1,2.0,0.024,200,0.6809999999999999,0.735,0.012,5.975,,0.419
0.6737772590000001,0.71686356,0.13699999999999998,lightgreen,0.016956284,0.630690957,1315.2,Good Dune,,3,,3.0,1,3.0,0.024,200,0.7340000000000001,0.6779999999999999,0.012,6.5760000000000005,,0.414
