Times,X MHW,Y MHW,MHW Ix,X Crest,Y Crest,Crest Ix,X Toe,Y Toe,Toe Ix,X Heel,Y Heel,Heel Ix,Dune Elevation,Dune Width,Aspect Ratio,Dune Volume,Beach Width,Beach Volume,Overwash Volume,Beach Slope,TWL,Fence Height,Impact Regime,Impact Regime Label
3511,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.5417784642295816,2.842099905014038,2,Overwash
3512,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.27145648722999777,2.842099905014038,2,Overwash
3513,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.030889699151711345,2.842099905014038,2,Overwash
3514,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.2280589290890659,2.842099905014038,2,Overwash
3515,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.4098397250512147,2.842099905014038,2,Overwash
3516,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.47963723266533864,2.842099905014038,2,Overwash
3517,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.39111513523909214,2.842099905014038,2,Overwash
3518,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.11833503744530693,2.842099905014038,2,Overwash
3519,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.16727414116691058,2.842099905014038,2,Overwash
3520,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.3752965278316917,2.842099905014038,2,Overwash
3521,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.5643715034602831,2.842099905014038,2,Overwash
3522,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.627129695790525,2.842099905014038,2,Overwash
3523,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.5780645019293273,2.842099905014038,2,Overwash
3524,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.40315033044976295,2.842099905014038,2,Overwash
3525,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.11697370919799259,2.842099905014038,2,Overwash
3526,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.18323977148058737,2.842099905014038,2,Overwash
3527,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.4145756470239778,2.842099905014038,2,Overwash
3528,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.4846746991679499,2.842099905014038,2,Overwash
3529,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.4658325857497839,2.842099905014038,2,Overwash
3530,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.14376096516595258,2.842099905014038,2,Overwash
3531,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.136711510746677,2.842099905014038,2,Overwash
3532,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.3768763466050892,2.842099905014038,2,Overwash
3533,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.5990541839984589,2.842099905014038,2,Overwash
3534,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.6429570834940332,2.842099905014038,2,Overwash
3535,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.6290046514074322,2.842099905014038,2,Overwash
3536,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.46088058644937335,2.842099905014038,2,Overwash
3537,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.25028835524525167,2.842099905014038,2,Overwash
3538,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.013004843970859763,2.842099905014038,2,Overwash
3539,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.22137607556745212,2.842099905014038,2,Overwash
3540,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.3717591552618453,2.842099905014038,2,Overwash
3541,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.4624052925467493,2.842099905014038,2,Overwash
3542,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.28631940703299913,2.842099905014038,2,Overwash
3543,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.009082211744366403,2.842099905014038,2,Overwash
3544,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.24171608033919934,2.842099905014038,2,Overwash
3545,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.48389738870702304,2.842099905014038,2,Overwash
3546,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.6398801764179601,2.842099905014038,2,Overwash
3547,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.7102295712703793,2.842099905014038,2,Overwash
3548,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.6159999966621399,2.842099905014038,2,Overwash
3549,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.3400000035762787,2.842099905014038,2,Overwash
3550,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.07999999821186066,2.842099905014038,2,Overwash
3551,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.2162139111642589,2.842099905014038,2,Overwash
3552,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.3540000021457672,2.842099905014038,2,Overwash
3553,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.43407709287783264,2.842099905014038,2,Overwash
3554,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.28600001335144043,2.842099905014038,2,Overwash
3555,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.004000000189989805,2.842099905014038,2,Overwash
3556,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.257999986410141,2.842099905014038,2,Overwash
3557,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.49799999594688416,2.842099905014038,2,Overwash
3558,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.6600000262260437,2.842099905014038,2,Overwash
3559,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.7250000238418579,2.842099905014038,2,Overwash
3560,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.6790000200271606,2.842099905014038,2,Overwash
3561,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.46299999952316284,2.842099905014038,2,Overwash
3562,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,-0.22200000286102295,2.842099905014038,2,Overwash
3563,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.057999998331069946,2.842099905014038,2,Overwash
3564,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.28999999165534973,2.842099905014038,2,Overwash
3565,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.4230000078678131,2.842099905014038,2,Overwash
3566,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.4169999957084656,2.842099905014038,2,Overwash
3567,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13904978334904,45.363200306892395,0.052554001212120054,0.2029999941587448,2.842099905014038,2,Overwash
3568,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314017295837402,43,13,3.4914000034332275,52,1.5475983619689941,9,0.17195537355211046,29.694801568984985,50,75.13899745047092,45.363200306892395,0.05255403459072113,-0.10199999809265137,2.842156410217285,2,Overwash
3569,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314167499542236,43,13,3.4914000034332275,52,1.5475833415985107,9,0.17195370462205675,29.694820284843445,50,75.13873161375523,45.363200306892395,0.0525543349981308,-0.34299999475479126,2.8424062728881836,2,Overwash
3570,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314000606536865,43,13,3.4914000034332275,52,1.5476000308990479,9,0.1719555589887831,29.694799780845642,50,75.13864959776402,45.363200306892395,0.052554001212120054,-0.5609999895095825,2.842400074005127,2,Overwash
3571,72,0.3037000000476837,1,16,4.479000091552734,49,22,2.9314050674438477,43,13,3.4914000034332275,52,1.5475950241088867,9,0.17195500267876518,29.694805145263672,50,75.13854856789112,45.363200306892395,0.05255410134792328,-0.6430000066757202,2.8425283432006836,2,Overwash
